recipe_id,position,qty,old_label,old_raw,new_label,new_raw,display_before,display_after
mussakhan,0,2 lb / 1 kg,,"chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on","2 lb./1kg chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on"
mussakhan,11,1 tbsp,,olive oil or any neutral oil,olive oil or any neutral oil,1 tablespoon olive oil or any neutral oil,olive oil or any neutral oil,olive oil or any neutral oil
no-knead-bread,2,2 tsp,,kosher salt,kosher salt,2 tsp kosher salt,kosher salt,kosher salt
palak-chicken-recipe-dhaba-style-saag-wala-chicken,1,1 kg,,chicken,chicken,1 kg chicken,chicken,chicken
palak-chicken-recipe-dhaba-style-saag-wala-chicken,4,1 tbsp,,ginger garlic paste,ginger garlic paste,1 tbsp ginger garlic paste,ginger garlic paste,ginger garlic paste
palak-chicken-recipe-dhaba-style-saag-wala-chicken,5,1 tsp,,Kashmiri red chilli powder,Kashmiri red chilli powder,1 tsp Kashmiri red chilli powder,Kashmiri red chilli powder,Kashmiri red chilli powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,13,2 tbsp,,ghee,ghee,2 tbsp ghee,ghee,ghee
palak-chicken-recipe-dhaba-style-saag-wala-chicken,14,1 tbsp,,oil,oil,1 tbsp oil,oil,oil
palak-chicken-recipe-dhaba-style-saag-wala-chicken,16,1/2 tsp,,cumin seeds,cumin seeds,1/2 tsp cumin seeds,cumin seeds,cumin seeds
palak-chicken-recipe-dhaba-style-saag-wala-chicken,17,2,,inch cinnamon stick,inch cinnamon stick,2 inch cinnamon stick,inch cinnamon stick,inch cinnamon stick
palak-chicken-recipe-dhaba-style-saag-wala-chicken,18,6,,black peppercorns,black peppercorns,6 black peppercorns,black peppercorns,black peppercorns
palak-chicken-recipe-dhaba-style-saag-wala-chicken,19,2,,green cardamoms,green cardamoms,2 green cardamoms,green cardamoms,green cardamoms
palak-chicken-recipe-dhaba-style-saag-wala-chicken,20,1,,black cardamom,black cardamom,1 black cardamom,black cardamom,black cardamom
palak-chicken-recipe-dhaba-style-saag-wala-chicken,21,2,,whole dry red chillies,whole dry red chillies,2 whole dry red chillies,whole dry red chillies,whole dry red chillies
palak-chicken-recipe-dhaba-style-saag-wala-chicken,24,3,,"green chillies, slit","green chillies, slit","3 green chillies, slit","green chillies, slit","green chillies, slit"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,25,2 tbsp,,ginger garlic paste,ginger garlic paste,2 tbsp ginger garlic paste,ginger garlic paste,ginger garlic paste
palak-chicken-recipe-dhaba-style-saag-wala-chicken,26,2,,"tomatoes, diced","tomatoes, diced","2 tomatoes, diced","tomatoes, diced","tomatoes, diced"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,29,1/2 tsp,,turmeric powder,turmeric powder,1/2 tsp turmeric powder,turmeric powder,turmeric powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,30,1 tbsp,,Kashmiri red chilli powder,Kashmiri red chilli powder,1 tbsp Kashmiri red chilli powder,Kashmiri red chilli powder,Kashmiri red chilli powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,31,1.5 tbsp,,coriander powder,coriander powder,1.5 tbsp coriander powder,coriander powder,coriander powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,32,1/2 tsp,,cumin powder,cumin powder,1/2 tsp cumin powder,cumin powder,cumin powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,34,1 tbsp,,ghee,ghee,1 tbsp ghee,ghee,ghee
palak-chicken-recipe-dhaba-style-saag-wala-chicken,35,1 tbsp,,"garlic, roughly chopped","garlic, roughly chopped","1 tbsp garlic, roughly chopped","garlic, roughly chopped","garlic, roughly chopped"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,36,1/2 tsp,,asafoetida,asafoetida,1/2 tsp asafoetida,asafoetida,asafoetida
palak-chicken-recipe-dhaba-style-saag-wala-chicken,37,1/2 tsp,,Kashmiri red chilli powder,Kashmiri red chilli powder,1/2 tsp Kashmiri red chilli powder,Kashmiri red chilli powder,Kashmiri red chilli powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,38,2,,"inch ginger, julienned","inch ginger, julienned","2 inch ginger, julienned","inch ginger, julienned","inch ginger, julienned"
pastina,1,1 cup,,of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work),1 Cup of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work)
pastina,2,3-4 cups,,"of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","3-4 Cups of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)"
pastina,3,1 tbsp,,of Unsalted Butter,of Unsalted Butter,1 Tablespoon of Unsalted Butter,of Unsalted Butter,of Unsalted Butter
pastina,4,1/4 cup,,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,1/4 Cup of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano
pastina,8,3/4 cup,,of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work),3/4 Cup of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work)
pastina,9,3 cups,,of Chicken Broth or Brodo,of Chicken Broth or Brodo,3 cups of Chicken Broth or Brodo,of Chicken Broth or Brodo,of Chicken Broth or Brodo
pastina,10,1/2 cup,,"of Carrots, Small Dice","of Carrots, Small Dice","1/2 Cup of Carrots, Small Dice","of Carrots, Small Dice","of Carrots, Small Dice"
pastina,11,1 cup,,"of Tuscan Kale, Sliced Thin","of Tuscan Kale, Sliced Thin","1 cup of Tuscan Kale, Sliced Thin","of Tuscan Kale, Sliced Thin","of Tuscan Kale, Sliced Thin"
pastina,12,1 clove,,"Garlic, Diced","Garlic, Diced","1 Clove of Garlic, Diced","Garlic, Diced","Garlic, Diced"
pastina,14,1,,Egg,Egg,1 Egg,Egg,Egg
pastina,15,1 tbsp,,of Unsalted Butter,of Unsalted Butter,1 Tablespoon of Unsalted Butter,of Unsalted Butter,of Unsalted Butter
pastina,16,1/4 cup,,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,1/4 Cup of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano
pepperoni-rolls,1,2 tbsp,,olive oil,olive oil,"2 tablespoons olive oil, plus more for dough resting",olive oil,olive oil
pepperoni-rolls,2,1 tbsp,,active dry yeast,active dry yeast,1 tablespoon active dry yeast,active dry yeast,active dry yeast
pepperoni-rolls,3,1 tbsp,,honey,honey,1 tablespoon honey,honey,honey
pepperoni-rolls,4,4 cups,,all-purpose flour,all-purpose flour,"4 cups all-purpose flour, plus more for kneading and rolling 1½ teaspoons kosher salt",all-purpose flour,all-purpose flour
pepperoni-rolls,5,1½ to 2 cups,,"water, at room temperature","water, at room temperature","1½ to 2 cups water, at room temperature","water, at room temperature","water, at room temperature"
pepperoni-rolls,6,2 large,,eggs,eggs,2 large eggs,eggs,eggs
pepperoni-rolls,9,1 lb,,"pepperoni in stick form, spicy is nice","pepperoni in stick form, spicy is nice","1 pound pepperoni in stick form, spicy is nice","pepperoni in stick form, spicy is nice","pepperoni in stick form, spicy is nice"
pepperoni-rolls,10,1 lb,,sliced provolone,sliced provolone,1 pound sliced provolone,sliced provolone,sliced provolone
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,1,1,,stick (8 tablespoons/113 grams) unsalted butter,stick (8 tablespoons/113 grams) unsalted butter,1 stick (8 tablespoons/113 grams) unsalted butter,stick (8 tablespoons/113 grams) unsalted butter,stick (8 tablespoons/113 grams) unsalted butter
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,2,1 ⅔ cups,,spooned and leveled all-purpose flour,spooned and leveled all-purpose flour,1 ⅔ cups spooned and leveled all-purpose flour (213 grams),spooned and leveled all-purpose flour,spooned and leveled all-purpose flour
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,3,2 tbsp,,pumpkin pie spice,pumpkin pie spice,2 tablespoons (15 grams) pumpkin pie spice,pumpkin pie spice,pumpkin pie spice
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,4,½ tsp,,kosher salt,kosher salt,½ teaspoon kosher salt,kosher salt,kosher salt
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,5,¾ tsp,,baking powder,baking powder,¾ teaspoon baking powder,baking powder,baking powder
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,6,¾ tsp,,baking soda,baking soda,¾ teaspoon baking soda,baking soda,baking soda
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,7,¾ cup,,"packed light brown sugar 1 cup (200 grams) granulated sugar, divided","packed light brown sugar 1 cup (200 grams) granulated sugar, divided","¾ cup (150 grams) packed light brown sugar 1 cup (200 grams) granulated sugar, divided","packed light brown sugar 1 cup (200 grams) granulated sugar, divided","packed light brown sugar 1 cup (200 grams) granulated sugar, divided"
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,8,½ cup,,canned pumpkin puree (not pumpkin pie filling),canned pumpkin puree (not pumpkin pie filling),½ cup (120 grams) canned pumpkin puree (not pumpkin pie filling),canned pumpkin puree (not pumpkin pie filling),canned pumpkin puree (not pumpkin pie filling)
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,9,1 tbsp,,vanilla extract,vanilla extract,1 tablespoon vanilla extract,vanilla extract,vanilla extract
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,11,4 oz,,"cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes","4 ounces (½ block/113 grams) cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes"
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,12,½,,stick (4 tablespoons/57 grams) unsalted butter,stick (4 tablespoons/57 grams) unsalted butter,½ stick (4 tablespoons/57 grams) unsalted butter,stick (4 tablespoons/57 grams) unsalted butter,stick (4 tablespoons/57 grams) unsalted butter
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,13,1 tsp,,vanilla extract,vanilla extract,1 teaspoon vanilla extract,vanilla extract,vanilla extract
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,14,pinch,,kosher salt,kosher salt,Pinch of kosher salt,kosher salt,kosher salt
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,15,2 cups,,confectioners' sugar,confectioners' sugar,2 cups (200 grams) confectioners' sugar,confectioners' sugar,confectioners' sugar
shepherds-pie,0,2 lb,,Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),2 pounds Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie)
shepherds-pie,1,1,,onion,onion,1 onion,onion,onion
shepherds-pie,2,2,,carrots,carrots,2 carrots,carrots,carrots
shepherds-pie,3,2 stalks,,celery,celery,2 stalks celery,celery,celery
shepherds-pie,4,4 cloves,,garlic,garlic,4 cloves garlic,garlic,garlic
shepherds-pie,5,3 tbsp,,tomato paste,tomato paste,3 tablespoon tomato paste,tomato paste,tomato paste
shepherds-pie,6,2 tbsp,,Worcestershire sauce,Worcestershire sauce,2 tablespoons Worcestershire sauce,Worcestershire sauce,Worcestershire sauce
shepherds-pie,7,1 - 1½ cup,,beef stock,beef stock,1 - 1½ cup beef stock,beef stock,beef stock
shepherds-pie,8,1 cup,,frozen peas,frozen peas,1 cup frozen peas,frozen peas,frozen peas
shepherds-pie,9,1 cup,,frozen corn,frozen corn,1 cup frozen corn,frozen corn,frozen corn
shepherds-pie,10,1 can,,Guinness,Guinness,1 Can of Guinness,Guinness,Guinness
shepherds-pie,11,1,,Rosemary sprig,Rosemary sprig,1 Rosemary sprig,Rosemary sprig,Rosemary sprig
shepherds-pie,12,3,,Thyme Sprigs,Thyme Sprigs,3 Thyme Sprigs,Thyme Sprigs,Thyme Sprigs
shepherds-pie,13,1,,Bay Leaf,Bay Leaf,1 Bay Leaf,Bay Leaf,Bay Leaf
shepherds-pie,14,1 tbsp,,butter,butter,1 tablespoon butter,butter,butter
shepherds-pie,15,2 tbsp,,olive oil,olive oil,2 tablespoon olive oil,olive oil,olive oil
shepherds-pie,18,2 tbsp,,AP Flour,AP Flour,2 Tablespoons AP Flour,AP Flour,AP Flour
shepherds-pie,20,4 lb,,Russet potatoes,Russet potatoes,4 pounds Russet potatoes,Russet potatoes,Russet potatoes
shepherds-pie,21,4 tbsp,,butter,butter,4 tablespoons butter,butter,butter
shepherds-pie,22,1 cup,,"Aged White Cheddar, grated","Aged White Cheddar, grated","1 cup Aged White Cheddar, grated","Aged White Cheddar, grated","Aged White Cheddar, grated"
shepherds-pie,23,1,,egg yolk,egg yolk,1 egg yolk,egg yolk,egg yolk
spiced-scallops-with-saffron-beurre-blanc,1,7 oz,,button mushrooms,button mushrooms,7 oz (200 g) button mushrooms,button mushrooms,button mushrooms
spiced-scallops-with-saffron-beurre-blanc,2,2 tsp,,fennel seeds,fennel seeds,2 tsp fennel seeds,fennel seeds,fennel seeds
spiced-scallops-with-saffron-beurre-blanc,3,1 tsp,,ground ginger,ground ginger,1 tsp ground ginger,ground ginger,ground ginger
spiced-scallops-with-saffron-beurre-blanc,4,1 tsp,,salt,salt,1 tsp salt,salt,salt
spiced-scallops-with-saffron-beurre-blanc,6,small pinch,,saffron strands,saffron strands,small pinch saffron strands,saffron strands,saffron strands
spiced-scallops-with-saffron-beurre-blanc,7,3 tbsp,,white wine vinegar,white wine vinegar,3 tbsp white wine vinegar,white wine vinegar,white wine vinegar
spiced-scallops-with-saffron-beurre-blanc,8,4 tbsp,,white wine,white wine,4 tosp white wine,white wine,white wine
spiced-scallops-with-saffron-beurre-blanc,9,1,,"shallot, finely diced","shallot, finely diced","1 shallot, finely diced","shallot, finely diced","shallot, finely diced"
spiced-scallops-with-saffron-beurre-blanc,10,6,,black peppercorns,black peppercorns,6 black peppercorns,black peppercorns,black peppercorns
spiced-scallops-with-saffron-beurre-blanc,11,¾ cup,,"unsalted butter, cubed","unsalted butter, cubed","¾ cup (175 g) unsalted butter, cubed","unsalted butter, cubed","unsalted butter, cubed"
spiced-scallops-with-saffron-beurre-blanc,12,½,,lemon,lemon,½ lemon,lemon,lemon
spiced-scallops-with-saffron-beurre-blanc,14,12 large,,"scallops, roe removed","scallops, roe removed","12 large scallops, roe removed","scallops, roe removed","scallops, roe removed"
spiced-scallops-with-saffron-beurre-blanc,15,2 tbsp,,extra virgin olive oil,extra virgin olive oil,2 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
spiced-scallops-with-saffron-beurre-blanc,16,4 tbsp,,mushroom and spice mix,mushroom and spice mix,4 tbsp mushroom and spice mix,mushroom and spice mix,mushroom and spice mix
spiced-scallops-with-saffron-beurre-blanc,17,2 tbsp,,"chives, snipped","chives, snipped","2 tbsp chives, snipped","chives, snipped","chives, snipped"
tahini-brioche-loaves-and-dinner-rolls,1,¼ cup,,"whole milk, warmed to 100°F to 110°F","whole milk, warmed to 100°F to 110°F","¼ cup whole milk, warmed to 100°F to 110°F","whole milk, warmed to 100°F to 110°F","whole milk, warmed to 100°F to 110°F"
tahini-brioche-loaves-and-dinner-rolls,2,2¼ tsp,,active dry yeast,active dry yeast,2¼ teaspoons active dry yeast,active dry yeast,active dry yeast
tahini-brioche-loaves-and-dinner-rolls,3,½ tsp,,sugar,sugar,½ teaspoon sugar,sugar,sugar
tahini-brioche-loaves-and-dinner-rolls,4,2,,eggs,eggs,2 eggs,eggs,eggs
tahini-brioche-loaves-and-dinner-rolls,5,1⅓ cups,,all-purpose flour,all-purpose flour,1⅓ cups all-purpose flour,all-purpose flour,all-purpose flour
tahini-brioche-loaves-and-dinner-rolls,7,1,,/ cups all-purpose flour,/ cups all-purpose flour,1/ cups all-purpose flour,/ cups all-purpose flour,/ cups all-purpose flour
tahini-brioche-loaves-and-dinner-rolls,8,¼ cup,,sugar,sugar,¼ cup sugar,sugar,sugar
tahini-brioche-loaves-and-dinner-rolls,9,1 tbsp,,salt,salt,1 tablespoon salt,salt,salt
tahini-brioche-loaves-and-dinner-rolls,10,3,,eggs plus 1 egg yolk,eggs plus 1 egg yolk,3 eggs plus 1 egg yolk,eggs plus 1 egg yolk,eggs plus 1 egg yolk
tahini-brioche-loaves-and-dinner-rolls,11,6 tbsp,,tahini,tahini,6 tablespoons tahini,tahini,tahini
tahini-brioche-loaves-and-dinner-rolls,12,1¾,,"sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","1¾ sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes"
tahini-brioche-loaves-and-dinner-rolls,14,2 lb,,"Tahini Brioche Dough, cold","Tahini Brioche Dough, cold","2 pounds Tahini Brioche Dough, cold","Tahini Brioche Dough, cold","Tahini Brioche Dough, cold"
tahini-brioche-loaves-and-dinner-rolls,15,2,,eggs,eggs,2 eggs,eggs,eggs
tahini-brioche-loaves-and-dinner-rolls,16,2 tsp,,whole milk,whole milk,2 teaspoons whole milk,whole milk,whole milk
tahini-brioche-loaves-and-dinner-rolls,17,2 to 3 tbsp,,"sesame seeds, toasted","sesame seeds, toasted","2 to 3 tablespoons sesame seeds, toasted","sesame seeds, toasted","sesame seeds, toasted"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,0,3,,"garlic cloves, minced","garlic cloves, minced","3 garlic cloves, minced","garlic cloves, minced","garlic cloves, minced"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,1,3 tbsp,,freshly squeezed lime juice,freshly squeezed lime juice,3 tablespoons freshly squeezed lime juice,freshly squeezed lime juice,freshly squeezed lime juice
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,2,½ tsp,,"kosher salt, plus more as needed","kosher salt, plus more as needed","½ teaspoon kosher salt, plus more as needed","kosher salt, plus more as needed","kosher salt, plus more as needed"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,3,4,,small whole mackerel (about,small whole mackerel (about,4 small whole mackerel (about,small whole mackerel (about,small whole mackerel (about
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,4,1½ lb,,cleaned and cut in half crosswise,cleaned and cut in half crosswise,"1½ pounds each), cleaned and cut in half crosswise",cleaned and cut in half crosswise,cleaned and cut in half crosswise
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,5,1 cup,,all-purpose flour,all-purpose flour,1 cup all-purpose flour,all-purpose flour,all-purpose flour
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,6,1 large,,egg,egg,1 large egg,egg,egg
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,8,1 large,,"yellow onion, thinly sliced","yellow onion, thinly sliced","1 large yellow onion, thinly sliced","yellow onion, thinly sliced","yellow onion, thinly sliced"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,9,2 medium,,"vine-ripened tomatoes, coarsely chopped","vine-ripened tomatoes, coarsely chopped","2 medium vine-ripened tomatoes, coarsely chopped","vine-ripened tomatoes, coarsely chopped","vine-ripened tomatoes, coarsely chopped"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,10,1 tsp,,curry powder or,curry powder or,1 teaspoon curry powder or,curry powder or,curry powder or
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,12,1 lb,,"mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped","1 pound mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,13,1,,chicken bouillon cube,chicken bouillon cube,1 chicken bouillon cube,chicken bouillon cube,chicken bouillon cube
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,14,¼ cup,,water,water,¼ cup water,water,water
