# hand_links.csv - the category vocabulary and the relation edges, authored.
#
# ⚠️ THE FOURTH HAND FILE, and the DURABLE source for library_categories and library_relations.
#    Everything else in the catalog is replayed from a hand file on every build, and an edge
#    stored only in recipes.db would be orphaned by the next fold with nothing to notice.
#
# ⚠️ THIS TABLE HOLDS ONLY FILTER CATEGORIES, terms that are NOT catalog rows. A kind_of parent
#    IS a catalog row and needs no entry here, so a kind_of edge points at a library_id and an
#    in_category edge points at a slug below. 'Is X a kind_of parent' is derived, not stored.
#
# ⚠️ FORMS INHERIT. garlic powder is made_from garlic, which is an allium, so it reaches the
#    category through its parent. A direct edge would be the almond-flour error one layer up.
#
# Spec: previews/category-vocabulary-final.md
#
# --- section: categories ---
category_id,name,parent_slug,note
Q48844996,plant-milk,in_category,wikidata,high,
Q123907356,pur-e,in_category,wikidata,high,
en:pea-starch,starch,in_category,off,high,
Q13202263,fruit,in_category,wikidata,high,
Q139503254,syrup,in_category,wikidata,high,
Q68221865,fruit-jam,in_category,wikidata,high,
Q68221988,Q13202263,kind_of,off,high,
Q68221988,peach,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:peach-paste,Q13202263,kind_of,off,high,
en:peach-paste,peach,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:peach-pulp,Q13202263,kind_of,off,high,
en:peach-pulp,peach,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q26879361,pur-e,in_category,wikidata,picked,
Q7157665,sauce,in_category,wikidata,high,
en:peach-syrup,Q13202263,kind_of,off,high,
en:peach-syrup,peach,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q147651,food-paste,in_category,wikidata,picked,
Q24882661,chutney,in_category,wikidata,high,
en:peanut-flour,Q3621199,kind_of,off,high,
en:peanut-flour,peanut,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7157940,plant-milk,in_category,wikidata,high,
Q130760537,Q165308,kind_of,wikidata,high,
Q130760537,pumpkin,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q107310187,sauce,in_category,wikidata,high,
en:peanut-with-shell,Q3621199,kind_of,off,high,
en:peanut-with-shell,peanut,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q110611304,vegetable,in_category,wikidata,high,
Q110611287,stock,in_category,wikidata,high,
Q3899632,Q13099586,kind_of,wikidata,high,
Q3899632,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q140361697,Q13099586,kind_of,wikidata,high,
Q140361697,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q47472068,fruit-jam,in_category,wikidata,high,
Q2461726,Q13099586,kind_of,off,high,
Q2461726,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pear-puree,pur-e,in_category,off,picked,
Q2743860,Q61665121,kind_of,wikidata,picked,
Q2743860,barley,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q104037539,Q259438,kind_of,wikidata,high,
Q104037539,millet,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q508630,Q3406628,kind_of,wikidata,high,
Q508630,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pears-in-cubes,Q13099586,kind_of,off,high,
en:pears-in-cubes,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1119911,tree-nut,in_category,off,picked,
Q5261363,sauce,in_category,wikidata,high,
en:pedro-ximenez-wine,wine,in_category,off,high,
en:pedrosillano-chickpeas,chickpea,in_category,off,high,
Q1258323,fruit-syrup,in_category,wikidata,high,
Q28725129,seafood,in_category,wikidata,high,
Q137802482,offal,in_category,wikidata,high,
Q17118882,edible-mushroom,in_category,wikidata,high,
en:pepeao,mushroom,in_category,off,high,
Q181572,chili-pepper,in_category,wikidata,high,
Q136747040,bell-pepper,in_category,wikidata,high,
Q3899360,bell-pepper,in_category,wikidata,high,
en:pepper-extract,pepper,kind_of,off,high,
en:pepper-extract,pepper,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7166384,cow-s-milk-cheese,in_category,wikidata,picked,
en:pepper-mix,pepper,kind_of,off,high,
en:pepper-mix,pepper,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3474121,sauce,in_category,wikidata,high,
en:peppercorns,pepper,kind_of,off,high,
en:peppercorns,pepper,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q20106090,pear,in_category,wikidata,high,
Q67861271,cut-of-fish,in_category,wikidata,high,
Q3899685,peach,in_category,wikidata,high,
Q7167863,vegetable,in_category,wikidata,high,
Q108064182,condiment,in_category,wikidata,picked,
Q921630,oil,in_category,wikidata,picked,
Q1493037,Q13099586,kind_of,wikidata,high,
Q1493037,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3070155,sauce,in_category,wikidata,high,
Q29526,fruit,in_category,wikidata,high,
Q11337373,tomato-sauce,in_category,wikidata,high,
Q9896,sauce,in_category,off,high,
Q134999560,food-paste,in_category,wikidata,high,
Q3900768,spice-mix,in_category,wikidata,high,
Q906404,essential-oil,in_category,wikidata,high,
Q67206285,food-paste,in_category,wikidata,high,
Q35855322,bird-egg,in_category,wikidata,high,
Q104093372,meat,in_category,wikidata,high,
Q3028160,sauce,in_category,wikidata,high,
Q1503784,vegetable,in_category,wikidata,high,
Q96399316,pickle,in_category,wikidata,high,
Q1365891,Q2735883,kind_of,wikidata,high,
Q1365891,cucumber,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q22907764,pickle,in_category,wikidata,picked,
Q9282304,vegetable,in_category,wikidata,picked,
Q2477614,Q3406628,kind_of,wikidata,high,
Q2477614,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q68220292,pickle,in_category,wikidata,high,
Q7190909,vegetable,in_category,wikidata,high,
Q68078194,chili-pepper,in_category,wikidata,high,
Q12338154,vegetable,in_category,wikidata,high,
Q67587611,vegetable,in_category,wikidata,picked,
Q68185511,vegetable,in_category,wikidata,high,
en:pierogi,stuffed-pasta,in_category,off,high,
Q18388526,Q8495,kind_of,wikidata,high,
Q18388526,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pig-snout,pork,in_category,off,high,
Q13164542,offal,in_category,wikidata,picked,
Q96756805,offal,in_category,wikidata,high,
Q107246701,offal,in_category,wikidata,high,
Q107246703,offal,in_category,wikidata,high,
Q107246705,offal,in_category,wikidata,high,
Q17118905,offal,in_category,wikidata,high,
Q107246706,stock,in_category,wikidata,high,
Q83363036,poultry-meat,in_category,wikidata,high,
en:pigeon-pea,Q145909,kind_of,off,high,
en:pigs-trotters,pork,in_category,off,high,
Q124761729,fish,in_category,wikidata,high,
Q67773148,cut-of-fish,in_category,wikidata,high,
Q67773084,seafood,in_category,wikidata,picked,
en:pilinut,nut,in_category,off,high,
fr:piment-oiseau,chili-pepper,in_category,off,high,
fr:piment-inca,chili-pepper,in_category,off,high,
bg:сладък-червен-пипер,paprika,in_category,off,high,
Q184315,cooking-oil,in_category,wikidata,picked,
Q990187,essential-oil,in_category,wikidata,high,
Q10817602,tropical-fruit,in_category,wikidata,high,
Q138541982,juice,in_category,wikidata,high,
Q33977139,fruit-jam,in_category,wikidata,high,
Q3190226,Q10817602,kind_of,off,high,
Q3190226,pineapple,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pineapple-puree,Q10817602,kind_of,off,picked,
en:pineapple-puree,pineapple,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pineapple-segments,Q10817602,kind_of,off,high,
en:pineapple-segments,pineapple,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pineapple-syrup,Q10817602,kind_of,off,high,
en:pineapple-syrup,pineapple,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q45824,strawberry,in_category,wikidata,high,
en:pink-clam,Q1192868,kind_of,off,high,
en:pink-clam,clam,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q57271710,Q21552830,kind_of,wikidata,high,
Q57271710,grapefruit,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q57271711,fruit-juice,in_category,off,high,
Q107558749,meat,in_category,wikidata,high,
Q2497744,Q3143131,kind_of,wikidata,picked,
Q2497744,peppercorn,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q673380,Q2796766,kind_of,off,high,
Q673380,salmon,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pink-shrimps,Q1517781,kind_of,off,high,
en:pink-shrimps,shrimp,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3121375,seed,in_category,wikidata,high,
Q512580,chili-pepper,in_category,wikidata,high,
Q125129662,plant-milk,in_category,wikidata,high,
Q14959225,nut,in_category,wikidata,high,
en:pistachio-seed-oil,oil,in_category,off,picked,
Q3905793,sausage,in_category,wikidata,high,
Q768564,sauce,in_category,wikidata,high,
Q232755,tropical-fruit,in_category,wikidata,high,
en:pitanga,fruit,in_category,off,high,
en:pitted-olive,Q1621080,kind_of,off,high,
en:pitted-olive,olive,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q115618436,tomato-sauce,in_category,off,picked,
Q467545,fish-sauce,in_category,wikidata,high,
Q4242107,seafood,in_category,wikidata,picked,
Q67861102,cut-of-fish,in_category,wikidata,high,
Q110611112,juice,in_category,wikidata,high,
Q123458126,banana,in_category,wikidata,high,
Q55830259,seed-oil,in_category,wikidata,high,
fr:plantes-aromatiques-deshydratees,herb,in_category,off,high,
Q108170369,quark,in_category,wikidata,high,
Q12372598,fruit,in_category,wikidata,high,
Q19966492,fruit-juice,in_category,wikidata,picked,
Q3497881,sauce,in_category,wikidata,high,
en:plum-spread,Q12372598,kind_of,off,high,
en:plum-spread,plum,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:plum-sugar,sugar,kind_of,off,picked,
en:plum-sugar,sugar,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:poached-egg,egg,kind_of,off,high,
en:poached-egg,egg,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q135442033,Q13099586,kind_of,wikidata,high,
Q135442033,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q897746,chili-pepper,in_category,wikidata,high,
en:pod-and-seed-vegetable,vegetable,in_category,off,high,
Q2724236,rice,in_category,wikidata,high,
Q67207218,Q14328596,kind_of,wikidata,high,
Q67207218,cabbage,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q67866043,bell-pepper,in_category,wikidata,high,
Q3393782,dried-fruit,in_category,wikidata,high,
fr:pois-chiches-secs-trempes,chickpea,in_category,off,high,
fr:poissons-entiers-peches-en-mediterranee,fish,in_category,off,high,
fr:poissons-et-crustaces-mis-en-oeuvre,fish,in_category,off,high,
en:pokeberry-shoots,shoot-vegetable,in_category,off,high,
Q130526536,Q10987,kind_of,wikidata,high,
Q130526536,honey,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pomace-brandy,alcohol,in_category,off,high,
Q2441143,vegetable,in_category,wikidata,high,
Q13222088,fruit,in_category,wikidata,high,
Q3567034,fruit-juice,in_category,wikidata,high,
Q108946643,molasses,in_category,wikidata,picked,
en:pomegranate-seeds,seed,in_category,off,high,
Q107246707,wine,in_category,wikidata,high,
Q80024,grapefruit,in_category,off,high,
fr:pommes-d-aquitaine,apple,in_category,off,high,
fr:ecorces-de-pamplemousse,grapefruit,in_category,off,high,
Q2722814,sauce,in_category,wikidata,high,
Q125427687,Q5090,kind_of,wikidata,high,
Q125427687,rice,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q17118924,spice-mix,in_category,wikidata,high,
Q21844971,plant-milk,in_category,wikidata,high,
Q107246708,plant-milk,in_category,wikidata,high,
Q1757003,oil,in_category,off,picked,
fr:viande-de-porc-cuite,pork,in_category,off,high,
Q21007636,pork,in_category,wikidata,high,
Q191768,meat,in_category,wikidata,high,
Q1365868,primal-cut,in_category,wikidata,picked,
Q110611121,stock,in_category,wikidata,high,
Q68453425,Q191768,kind_of,off,picked,
Q68453425,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q107246709,stock,in_category,wikidata,high,
en:pork-by-product,Q191768,kind_of,off,high,
en:pork-by-product,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-fond,Q191768,kind_of,off,high,
en:pork-fond,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-gelatin,Q191768,kind_of,off,high,
en:pork-gelatin,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q68453100,Q191768,kind_of,wikidata,high,
Q68453100,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-heart,Q191768,kind_of,off,high,
en:pork-heart,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7230134,Q191768,kind_of,wikidata,high,
Q7230134,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-kidney,Q191768,kind_of,off,high,
en:pork-kidney,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q67587699,Q191768,kind_of,off,picked,
Q67587699,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q18384179,Q191768,kind_of,off,picked,
Q18384179,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7230136,Q191768,kind_of,off,high,
Q7230136,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-minute-steak,Q191768,kind_of,off,high,
en:pork-minute-steak,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-offal,Q157484,kind_of,off,picked,
en:pork-offal,offal,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q107246711,Q995566,kind_of,wikidata,high,
Q107246711,sausage-meat,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q2255700,meat,in_category,wikidata,high,
Q3695900,Q191768,kind_of,wikidata,high,
Q3695900,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q107246714,offal,in_category,wikidata,high,
Q107246715,Q275068,kind_of,off,picked,
Q107246715,stock,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q2255703,Q191768,kind_of,wikidata,high,
Q2255703,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q13164545,Q191768,kind_of,off,picked,
Q13164545,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pork-tripe,Q191768,kind_of,off,high,
en:pork-tripe,pork,in_category,restructure,authored,browsable family added beside the kind_of it already had
port,fortified-wine,in_category,prose,authored,
en:potassium-iodide,salt,in_category,off,high,
en:potato-flakes,Q16587531,kind_of,off,high,
en:potato-flakes,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3066930,Q16587531,kind_of,off,picked,
Q3066930,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:potato-glucose-syrup,glucose-syrup,in_category,off,high,
Q383523,Q3406628,kind_of,wikidata,high,
Q383523,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:potato-skin,Q16587531,kind_of,off,high,
en:potato-skin,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q715160,starch,in_category,wikidata,high,
Q1866054,glucose-syrup,in_category,wikidata,high,
Q3395977,Q16587531,kind_of,wikidata,high,
Q3395977,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:potherb,leaf-vegetable,in_category,off,high,
Q10638208,cheese,in_category,wikidata,high,
Q108063900,quark,in_category,wikidata,high,
Q86681753,chicken,in_category,wikidata,high,
fr:poulet-traite-en-salaison,chicken,in_category,off,high,
Q68187791,condiment,in_category,wikidata,high,
Q107307355,offal,in_category,wikidata,high,
Q68188589,poultry-meat,in_category,wikidata,picked,
Q107307360,offal,in_category,wikidata,high,
Q14473756,poultry-meat,in_category,wikidata,high,
en:powdered-almonds,Q184357,kind_of,off,high,
en:powdered-almonds,almond,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q11604445,cheese,in_category,wikidata,high,
en:powdered-condiment,condiment,in_category,off,high,
Q57328764,Q796758,kind_of,off,high,
Q57328764,egg-white,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1058410,seafood,in_category,wikidata,high,
en:pre-cooked-durum-wheat,Q102330562,kind_of,off,high,
en:pre-cooked-durum-wheat,durum-wheat,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q28689365,vegetable,in_category,wikidata,high,
en:pre-gelatinized-wheat-flour,Q2249305,kind_of,off,high,
en:pre-gelatinized-wheat-flour,wheat-flour,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:precooked-chicken-meat,Q864693,kind_of,off,high,
en:precooked-chicken-meat,chicken,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:precooked-lentils,lentils,in_category,off,high,
en:precooked-parboiled-whole-grain-brown-rice,parboiled-rice,in_category,off,high,
en:precooked-potato,Q16587531,kind_of,off,high,
en:precooked-potato,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:precooked-tuna,Q17504707,kind_of,off,high,
en:precooked-tuna,tuna,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pregelatinized-rice-flour,Q1269205,kind_of,off,high,
en:pregelatinized-rice-flour,rice-flour,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pregelatinized-rye-flour,Q10658708,kind_of,off,high,
en:pregelatinized-rye-flour,rye-flour,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q115618813,egg-as-food,in_category,wikidata,high,
en:prepared-sauce,sauce,in_category,off,high,
Q122908649,vegetable,in_category,wikidata,high,
en:preserved-chili-pepper,chili-pepper,in_category,off,high,
Q18396737,fish,in_category,wikidata,high,
Q2723408,Q1093742,kind_of,off,high,
Q2723408,lemon,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q4145855,Q29472543,kind_of,wikidata,high,
Q4145855,pea,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q17053386,pork,in_category,off,picked,
Q18465171,ham,in_category,wikidata,high,
Q20059289,ham,in_category,wikidata,high,
Q18465188,ham,in_category,wikidata,high,
Q18465195,ham,in_category,wikidata,high,
Q2146147,fruit,in_category,wikidata,high,
Q96603132,Q16587531,kind_of,wikidata,high,
Q96603132,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1570052,cheese,in_category,wikidata,high,
Q26845135,Q8495,kind_of,wikidata,high,
Q26845135,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:processed-salt,salt,kind_of,off,high,
en:processed-salt,salt,in_category,restructure,authored,browsable family added beside the kind_of it already had
fr:produit-a-base-de-viande-de-poulet,chicken,in_category,off,high,
Q6766526,dried-fruit,in_category,wikidata,picked,
Q7253037,oil,in_category,wikidata,picked,
en:prunus-species-fruit,fruit,in_category,off,high,
fr:preparation-d-epices,spice,in_category,off,high,
fr:preparation-de-tomates-decongelee,tomato-sauce,in_category,off,high,
fr:preparation-deshydratee-pour-sauce,sauce,in_category,off,high,
fr:preparation-fromagere,cheese,in_category,off,high,
Q154092,Q5090,kind_of,off,high,
Q154092,rice,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q107755066,Q15645384,kind_of,off,high,
Q107755066,wheat,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q124726513,game-meat,in_category,wikidata,high,
fr:pulpe-de-saumon-fume,salmon,in_category,off,high,
Q11264136,Q165308,kind_of,off,high,
Q11264136,pumpkin,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pumpkin-leaves,leaf-vegetable,in_category,off,high,
en:pumpkin-pulp,Q165308,kind_of,off,high,
en:pumpkin-pulp,pumpkin,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pumpkin-seed,Q165308,kind_of,off,high,
en:pumpkin-seed,pumpkin,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q770335,oil,in_category,off,picked,
Q1633480,vegetable,in_category,wikidata,high,
en:pure-cocoa-butter-chocolate,chocolate,in_category,off,high,
en:pure-grape-juice,Q1209756,kind_of,off,high,
en:pure-grape-juice,grape-juice,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pure-vanilla,Q13241,kind_of,off,high,
en:pure-vanilla,vanilla,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:pureed-green-bean,Q2987371,kind_of,off,high,
en:pureed-green-bean,green-bean,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:purple-sweet-potato,Q37937,kind_of,off,high,
en:purple-sweet-potato,sweet-potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:purslane,leaf-vegetable,in_category,off,high,
Q636056,food-paste,in_category,wikidata,high,
fr:puree-et-puree-concentree,Q636056,kind_of,off,high,
fr:puree-et-puree-concentree,pur-e,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q31085950,rice,in_category,wikidata,high,
Q67445428,lentil,in_category,wikidata,high,
Q7263427,seed,in_category,wikidata,high,
fr:pates-alimentaires-aux-oeufs-cuites,pasta,in_category,off,high,
fr:pates-fraiches-farcies-cuites,stuffed-pasta,in_category,off,high,
fr:peche-au-sirop,peach,in_category,off,high,
Q20060568,peach,in_category,wikidata,high,
Q13137532,butter,in_category,wikidata,high,
hr:pšenično-brašno-tip-400,wheat-flour,in_category,off,high,
Q100260474,dairy-product,in_category,wikidata,high,
Q63890957,food-paste,in_category,wikidata,high,
Q107246719,stock,in_category,wikidata,high,
Q1572135,egg-as-food,in_category,wikidata,picked,
Q110611187,Q1470283,kind_of,wikidata,high,
Q110611187,liver,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7268510,poultry-meat,in_category,wikidata,high,
Q259642,cheese,in_category,off,high,
en:queen-scallop,Q7360490,kind_of,off,high,
en:queen-scallop,scallop,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7271180,jam,in_category,wikidata,high,
Q138460940,cheese,in_category,wikidata,high,
Q10356078,cheese,in_category,wikidata,high,
Q6094372,sheep-milk-cheese,in_category,wikidata,picked,
Q135011434,spanish-cheese,in_category,wikidata,high,
Q2578908,dairy,in_category,off,high,
Q131989100,cheese,in_category,wikidata,high,
Q19341080,cheese,in_category,wikidata,high,
Q6094612,spanish-cheese,in_category,wikidata,high,
ca:formatge-tendre,soft-cheese,in_category,off,high,
fr:queues-de-crevettes,shrimp,in_category,off,high,
Q956379,pur-e,in_category,wikidata,high,
Q2751465,fruit,in_category,wikidata,high,
Q555084,food-paste,in_category,wikidata,high,
Q6855605,fruit-jam,in_category,wikidata,high,
Q107262467,fruit-juice,in_category,wikidata,high,
Q107262468,seed,in_category,wikidata,high,
Q104030862,grain,in_category,wikidata,high,
Q16623738,sauce,in_category,wikidata,high,
Q107246724,meat,in_category,wikidata,high,
Q110611186,stock,in_category,wikidata,high,
Q67883965,Q1470283,kind_of,wikidata,high,
Q67883965,liver,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3556748,game-meat,in_category,wikidata,high,
Q125257091,Q8495,kind_of,wikidata,high,
Q125257091,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q123577388,game-meat,in_category,wikidata,high,
Q106689706,cheese,in_category,wikidata,high,
Q767765,leaf-vegetable,in_category,wikidata,picked,
Q80008054,leaf-vegetable,in_category,wikidata,picked,
Q18393201,sauce,in_category,wikidata,high,
en:rainbow-shrimp,Q1517781,kind_of,off,high,
en:rainbow-shrimp,shrimp,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q107262739,wine,in_category,wikidata,high,
Q13186,fruit,in_category,off,high,
en:raisin-concentrate,Q13186,kind_of,off,high,
en:raisin-concentrate,raisin,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q110611286,pur-e,in_category,wikidata,high,
fr:raisins-secs-rehydrates,Q13186,kind_of,off,high,
fr:raisins-secs-rehydrates,raisin,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:rakia,alcohol,in_category,off,high,
Q21272240,Q13099586,kind_of,wikidata,high,
Q21272240,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q697248,oil,in_category,wikidata,picked,
fi:rapsi-ja-auringonkukkaöljy,sunflower-oil,in_category,off,high,
Q1067261,mixed-spices,in_category,off,picked,
Q11962286,jam,in_category,off,high,
Q25220811,berry-juice,in_category,wikidata,high,
en:raspberry-leaf,herb,in_category,off,high,
en:raspberry-liqueur,liqueur,in_category,off,high,
en:raspberry-sauce,sauce,in_category,off,high,
Q55815098,seed-oil,in_category,wikidata,high,
Q26877759,fruit-syrup,in_category,wikidata,high,
Q16909917,Q41354,kind_of,wikidata,high,
Q16909917,vinegar,in_category,restructure,authored,browsable family added beside the kind_of it already had
fi:rasvaton-rahka,quark,in_category,off,high,
en:ravioli,stuffed-pasta,in_category,off,high,
en:raw-cucumber-pulp,Q2735883,kind_of,off,high,
en:raw-cucumber-pulp,cucumber,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-almonds,Q184357,kind_of,off,high,
en:raw-almonds,almond,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-american-type-grapes,Q10978,kind_of,off,high,
en:raw-american-type-grapes,grape,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-apples-with-skin,Q89,kind_of,off,high,
en:raw-apples-with-skin,apple,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-cacao-powder,cocoa-powder,in_category,off,high,
en:raw-celery,Q23012379,kind_of,off,high,
en:raw-celery,celery,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-chestnut,Q773987,kind_of,off,high,
en:raw-chestnut,chestnut,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-chicken-meat-and-skin,Q864693,kind_of,off,high,
en:raw-chicken-meat-and-skin,chicken,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-cocoa,cocoa,in_category,off,high,
en:raw-cream,Q13228,kind_of,off,high,
en:raw-cream,cream,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-cucumber-pulp-and-peel,Q2735883,kind_of,off,high,
en:raw-cucumber-pulp-and-peel,cucumber,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q116810133,chicken-egg,in_category,wikidata,picked,
en:raw-extra-sweet-pineapple,Q10817602,kind_of,off,high,
en:raw-extra-sweet-pineapple,pineapple,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q44480852,fish,in_category,wikidata,high,
en:raw-florida-oranges,Q13191,kind_of,off,high,
en:raw-florida-oranges,orange,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-ground-chicken,Q864693,kind_of,off,high,
en:raw-ground-chicken,chicken,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q5309466,Q170486,kind_of,wikidata,high,
Q5309466,ham,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-japanese-persimmon,Q29526,kind_of,off,high,
en:raw-japanese-persimmon,persimmon,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-lentils,lentils,in_category,off,high,
Q7296903,meat,in_category,wikidata,high,
Q513631,Q8495,kind_of,wikidata,high,
Q513631,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-muscadine-grapes,Q10978,kind_of,off,high,
en:raw-muscadine-grapes,grape,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-native-persimmon,Q29526,kind_of,off,high,
en:raw-native-persimmon,persimmon,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-navel-orange,Q13191,kind_of,off,high,
en:raw-navel-orange,orange,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-onion,Q3406628,kind_of,off,high,
en:raw-onion,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-orange-with-peel,Q13191,kind_of,off,high,
en:raw-orange-with-peel,orange,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-pear,Q13099586,kind_of,off,high,
en:raw-pear,pear,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-pearled-barley,Q61665121,kind_of,off,high,
en:raw-pearled-barley,barley,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:raw-peeled-lemon,Q1093742,kind_of,off,high,
en:raw-peeled-lemon,lemon,in_category,restructure,authored,browsable family added beside the kind_of it already had
